Authors,Title,Year,Journal,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link
"dos Santos Moreti L., Sitta E.","Glucose and 5-hydroxymethylfurfural adsorption at Pt(111) in alkaline media: a cyclic voltammetry study",2024,"Journal of Solid State Electrochemistry",,,,"","",,"10.1007/s10008-024-05925-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193716603&doi=10.1007%2fs10008-024-05925-3&partnerID=40&md5=c06b82c2676805675d7ca6097587623e"
"Hessel C., Perini N., Sitta E.","The role of scavengers in the CdS film corrosion",2023,"Journal of Solid State Electrochemistry","27","3",,"705","714",,"10.1007/s10008-022-05363-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144976950&doi=10.1007%2fs10008-022-05363-z&partnerID=40&md5=5985a73f517c584501737d4bc2f031fd"
"da Silva K.N., Soffiati G., da Silva E.Z., San-Miguel M.A., Sitta E.","Using the site-knockout strategy to understand the low activity of the nitrate electro-reduction reaction on Pt(111)",2022,"New Journal of Chemistry","46","25",,"12132","12138",,"10.1039/d2nj01773c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131964355&doi=10.1039%2fd2nj01773c&partnerID=40&md5=1d5db4b7e466c6e8565a26022450ecda"
